SMILES,EC50-le-10um
CC[n+]1ccccc1\C=C\c2ccc(cc2)N(C)C,0
C[n+]1ccccc1\C=C\c2ccc(cc2)[N+](=O)[O-],0
CC(C)OC(=O)C1C(C2=C(CC(CC2=O)c3ccc(Cl)cc3)N=C1C)c4ccc(F)cc4,0
CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)cc3)N=C1C)c4ccccc4Cl,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)cc3)N=C1C)c4ccc(cc4)[N+](=O)[O-],0
CCCCN1C(=N)N(CC(O)c2ccc(Br)cc2)c3ccccc13,0
CN(C)c1cc[n+](CC(=O)c2ccc(Br)cc2)cc1,0
OC(CN1C(=N)N(CC=C)c2ccccc12)c3ccc(Cl)c(Cl)c3,0
Cc1ccc(NC(=O)c2c(I)cnn2C)cc1[N+](=O)[O-],0
CCN(CC)CCN1C(=N)N(CC(O)c2ccc(Cl)c(Cl)c2)c3ccccc13,1
COC(=O)C1C=NC=C(C1c2ccc(Cl)c(Cl)c2)C(=O)OC,0
CCN(CC)CCN1C(Nc2ccccc2C1=O)c3ccc(Cl)cc3,0
CN(C)C1=C(N(C(=O)C)c2ccc(F)cc2)C(=O)c3ccccc3C1=O,1
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)cc3)N=C1C)c4ccccc4F,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4F,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4cccc(C)c4,0
COc1ccc(cc1OC)C2CC(=O)C3=C(C2)N=C(C)C(C3c4ccccc4Cl)C(=O)OC(C)C,0
CCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4cccc(C)c4,0
CCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4cccc(Cl)c4,0
COC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4F,0
COCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4F,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccc(F)cc4,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4cccc(Cl)c4,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4OC,0
COC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccc(F)cc4,0
CCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4C,0
COC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4C,0
CCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccc(cc4)[N+](=O)[O-],0
COCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccc(F)cc4,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4Cl,0
COc1ccc(cc1OC)C2CC(=O)C3=C(C2)N=C(C)C(C3c4ccccc4OC)C(=O)OC(C)C,0
CCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4Cl,0
CCCOC(=O)C1C(C2=C(CC(CC2=O)c3ccc(OC)c(OC)c3)N=C1C)c4ccccc4C,0
CCOc1ccc2nc(C)cc(Nc3ccc(Cl)cc3)c2c1,1
COc1ccc2S\C(=C/c3cccc[n+]3C)\N(C)c2c1,0
CCN1\C(=C\c2cccc[n+]2C)\Sc3ccc(OC)cc13,0
CCN1\C(=C\c2cccc[n+]2C)\C=Cc3cc(C)ccc13,0
CN1\C(=C\c2cccc[n+]2C)\Sc3ccccc13,0
CN1\C(=C\c2cccc[n+]2C)\Sc3ccc(C)cc13,0
Clc1ccc(Nc2nc(NCc3occc3)c4ccccc4n2)cc1,0
Fc1ccc(Nc2nc(NCc3occc3)c4ccccc4n2)cc1,1
CCOc1ccc(cc1)N(C(=O)C)C2=C(N3CCOCC3)C(=O)c4ccccc4C2=O,1
CCOc1ccc(cc1)N(C(=O)C)C2=C(N(C)C)C(=O)c3ccccc3C2=O,1
CCCN1C2=C(CCC2)C(=N)C3=C1CCCC3,0
Oc1ccc(Br)cc1CN2CCN(Cc3ccccc3F)CC2,0
Oc1ccc(Br)cc1CN2CCN(Cc3cccc(F)c3)CC2,0
CCCCOc1ccc(cc1)N(C(=O)C)C2=C(N3CCCCC3)C(=O)c4ccccc4C2=O,0
CCCCOc1ccc(cc1)N(C(=O)C)C2=C(N3CCOCC3)C(=O)c4ccccc4C2=O,1
CCCCCOc1ccc(cc1)N(C(=O)C)C2=C(N3CCCCC3)C(=O)c4ccccc4C2=O,1
CCCCCOc1ccc(cc1)N(C(=O)C)C2=C(N3CCOCC3)C(=O)c4ccccc4C2=O,0
CCOc1ccc(\C=C\C2=NC(=O)c3ccccc3O2)cc1,0
Cc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,0
CCc1ccc(cc1)S(=O)(=O)N=C2CC(=Nc3ccccc3)C(=O)c4ccccc24,1
Cc1ccccc1N=C2CC(=NS(=O)(=O)c3ccc(F)cc3)c4ccccc4C2=O,1
CC(C)(C)c1ccc(cc1)S(=O)(=O)N=C2CC(=Nc3ccc(O)cc3)C(=O)c4ccccc24,1
CC(C)c1ccc(cc1)S(=O)(=O)N=C2CC(=Nc3ccc(O)cc3)C(=O)c4ccccc24,1
CCc1ccc(cc1)S(=O)(=O)N=C2CC(=Nc3ccccc3OC)C(=O)c4ccccc24,0
COc1ccccc1N=C2CC(=NS(=O)(=O)c3ccc(cc3)C(C)C)c4ccccc4C2=O,0
CCCCCCCCCC[n+]1ccccc1,0
COc1ccccc1C2CC(=O)C3=C(C2)N=C(C)C(C3c4ccc(Cl)cc4)C(=O)OC(C)C,0
Cc1ccc2S\C(=C/c3sc4ccccc4[n+]3C)\N(CCO)c2c1,0
CN1\C(=C\c2sc3ccccc3[n+]2CCO)\Sc4ccc(C)cc14,0
Cc1ccc2N(CCO)\C(=C\c3sc4ccccc4[n+]3C)\Sc2c1,0
C[n+]1c(\C=C\2/C=CC=CN2CC=C)sc3ccccc13,0
CN1\C(=C\c2sc3ccccc3[n+]2C)\C=Cc4cc(C)ccc14,1
CCN1C=CC(=Cc2sc3ccccc3[n+]2CC=C)C=C1,0
CC[n+]1c(\C=C\2/C=CC=CN2CC=C)sc3ccccc13,0
CCCCCCCN1C=CC(=N)C=C1,0
CC(C)c1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1,0
